id,title,parent,entity,type,town,owner,operator,count_approved,monthly,reg_date,is_active,size,size_in,size_out,indoor_area_per_child,shuttle,after_care,pre_public,penalty_count,total_fine,nonmonetary_sanction_count
8c663438-ae6b-4e57-bf70-1a28962ab285,新北市私立福祿貝爾幼兒園,新北市私立福祿貝爾幼兒園,新北市私立福祿貝爾幼兒園,私立,林口區,鄭妍卉,,180,16851,2014/07/30,1,1979.29,1360.86,618.43,7.56,0,0,無,2,12000,0
8c9f81b6-9984-41b7-9430-5121ba2c0fd0,新北市私立大鵬鳥幼兒園,新北市私立大鵬鳥幼兒園,新北市私立大鵬鳥幼兒園,私立,新莊區,陳佳敏,,58,13414,1998/04/21,1,339.746,339.746,,5.86,0,0,無,0,0,0
8cc440cb-a560-4a73-a61f-3877509200aa,新北市立瑞芳國民中學附設幼兒園,新北市立瑞芳國民中學附設幼兒園,新北市立瑞芳國民中學附設幼兒園,公立,瑞芳區,許憶雯,,60,3728,2000/07/19,1,660.0,300.0,360.0,5.0,0,0,無,0,0,0
8d062a0a-1381-4c0e-a8a6-544ce1efb934,新北市坪林區坪林國民小學附設幼兒園,新北市坪林區坪林國民小學附設幼兒園,新北市坪林區坪林國民小學附設幼兒園,公立,坪林區,王佩君,,60,3728,1985/12/27,1,730.0,340.13,389.87,5.67,0,0,無,0,0,0
8d5f9c27-6348-40b4-8062-6c2ddcbe27d4,新北市立坪林實驗國民中學附設幼兒園,新北市立坪林實驗國民中學附設幼兒園,新北市立坪林實驗國民中學附設幼兒園,公立,坪林區,歐志華,,36,3728,2021/08/01,1,269.31,161.31,108.0,4.48,0,0,無,0,0,0
8d9f6d02-a023-4b7a-8c2f-6f29fc437f09,新北市金山區金美國民小學附設幼兒園,新北市金山區金美國民小學附設幼兒園,新北市金山區金美國民小學附設幼兒園,公立,金山區,陳癸伶,,76,3728,1999/09/02,1,1981.0,658.0,1323.0,8.66,0,0,無,0,0,0
8dad8c8c-b455-428a-910e-29deb8e3f51d,新北市汐止區長安國民小學附設幼兒園,新北市汐止區長安國民小學附設幼兒園,新北市汐止區長安國民小學附設幼兒園,公立,汐止區,許聰顯,,136,3728,2014/08/01,1,1572.02,871.02,701.0,6.4,0,0,無,0,0,0
8ddba3fa-d297-4f27-83da-656f04edd12c,新北市私立中華兒童幼兒園,新北市私立中華兒童幼兒園,新北市私立中華兒童幼兒園,私立,蘆洲區,張培安,,42,4500,2000/10/03,1,148.5,148.5,,3.54,0,0,113-115,2,56000,0
8e155d23-5aee-4302-88d8-072bfcae1bdd,新北市私立新天地國際蒙特梭利幼兒園,新北市私立新天地國際蒙特梭利幼兒園,新北市私立新天地國際蒙特梭利幼兒園,私立,中和區,許瑜娟,,56,15306,2000/05/16,1,223.66,223.66,,3.99,0,0,無,3,126000,0
8e1ab98c-5485-4b38-a606-066690944fde,新北市私立蘆幼幼兒園,新北市私立蘆幼幼兒園,新北市私立蘆幼幼兒園,私立,蘆洲區,許國堂,,66,4500,1999/07/17,1,231.74,231.74,,3.51,0,0,113-115,1,6000,0
8e299ebb-2d64-43b9-a2df-0b998ad348da,新北市私立慈德幼兒園,新北市私立慈德幼兒園,新北市私立慈德幼兒園,私立,中和區,陳喬靖,,180,3750,2020/07/16,1,1128.49,815.56,312.93,4.53,0,0,113-115,1,6000,0
8e3b7107-dcaa-4e1e-a693-ea255607f93c,新北市私立佳宜幼兒園,新北市私立佳宜幼兒園,新北市私立佳宜幼兒園,私立,三峽區,朱慧芬,,210,18667,2022/06/29,1,1540.12,956.65,583.47,4.56,0,0,無,5,84000,0
8f4dc715-c261-4045-a15b-45929598a107,新北市私立永錡板橋幼兒園,新北市私立永錡板橋幼兒園,新北市私立永錡板橋幼兒園,私立,板橋區,許耀堂,,135,14300,2000/08/07,1,559.44,559.44,,4.14,0,0,無,3,126000,0
8f7e2dd8-739b-4e56-959b-41bdf53682ef,新北市板橋區國光國民小學附設幼兒園,新北市板橋區國光國民小學附設幼兒園,新北市板橋區國光國民小學附設幼兒園,公立,板橋區,梁榮仁,,210,3728,1993/07/21,1,3948.24,1486.24,2462.0,7.08,0,0,無,1,6000,0
8fa733e9-7d77-4e2c-90aa-8c564d34211e,台電公司林口發電廠職場互助教保服務中心(委託社團法人台灣公共托育協會辦理),台電公司林口發電廠職場互助教保服務中心(委託社團法人台灣公共托育協會辦理),台電公司林口發電廠職場互助教保服務中心,私立,林口區,呂佳旻,社團法人台灣公共托育協會,40,2000,2022/08/11,1,175.53,175.53,,4.39,0,0,無,0,0,0
8fc15b27-cc27-4dd7-8cab-9b31bc37ae8b,新北市私立新佳美幼兒園,新北市私立新佳美幼兒園,新北市私立新佳美幼兒園,私立,永和區,劉玉嬋,,120,15820,1982/12/21,1,699.18,429.21,269.97,3.58,0,0,無,0,0,0
9016ac64-f9fe-4e76-b915-a291669823fd,新北市私立青山幼兒園,新北市私立青山幼兒園,新北市私立青山幼兒園,私立,汐止區,郭本義,,70,17115,2002/11/07,1,371.17,371.17,,5.3,0,0,無,6,60000,0
90315eaf-e9ec-4c19-88c6-b05d7af3557c,新北市私立培賢幼兒園,新北市私立培賢幼兒園,新北市私立培賢幼兒園,私立,永和區,楊麗芬,,62,14865,1977/09/01,1,220.3,121.16,99.14,1.95,0,0,無,2,66000,0
90505bf2-3550-4297-994c-685e7bb04d28,新北市私立優時代幼兒園,新北市私立優時代幼兒園,新北市私立優時代幼兒園,私立,新店區,陳美如,,90,24732,2019/07/15,1,576.21,388.92,187.29,4.32,0,0,無,1,6000,0
90e8aab9-a2f4-4da9-b931-288b14e8b75b,新北市私立大同幼兒園,新北市私立大同幼兒園,新北市私立大同幼兒園,私立,板橋區,周沛慈,,66,4606,1975/01/01,1,231.59,150.18,81.41,2.28,0,0,114-115,0,0,0
90ed51b5-00b2-4cc8-ba4a-3d15d0ad1901,新北市私立興南幼兒園,新北市私立興南幼兒園,新北市私立興南幼兒園,私立,中和區,朱力新,,65,17175,2003/01/10,1,417.66,417.66,,6.43,0,0,無,11,684000,0
91b21342-a397-46aa-8088-b4bf6f7047aa,新北市私立悅欣幼兒園,新北市私立悅欣幼兒園,新北市私立悅欣幼兒園,私立,板橋區,傅麗娜,,42,4500,2011/11/02,1,149.12,149.12,,3.55,0,0,113-115,0,0,0
91bb8a71-63d1-48ef-8b27-804cf3f370e1,新北市私立神奇小子幼兒園,新北市私立神奇小子幼兒園,新北市私立神奇小子幼兒園,私立,汐止區,周怡雯,,86,4500,2000/03/24,1,755.21,399.43,,4.64,0,0,113-115,0,0,0
92164d20-23fa-40c5-a50b-176788279728,新北市瑞芳區瑞柑國民小學附設幼兒園,新北市瑞芳區瑞柑國民小學附設幼兒園,新北市瑞芳區瑞柑國民小學附設幼兒園,公立,瑞芳區,乃瑞春,,30,3728,2013/08/01,1,431.55,139.95,291.6,4.67,0,0,無,0,0,0
92379b9b-984e-4e7a-a998-3553323c5534,新北市汐止區保長國民小學附設幼兒園,新北市汐止區保長國民小學附設幼兒園,新北市汐止區保長國民小學附設幼兒園,公立,汐止區,黃鈺樺,,30,3728,1999/08/21,1,463.69,313.69,150.0,10.46,0,0,無,0,0,0
927e3a97-e752-4667-935f-7b431851db1e,新北市私立亞特幼兒園,新北市私立亞特幼兒園,新北市私立亞特幼兒園,私立,板橋區,高大晏,,29,4500,2002/01/04,1,102.73,102.73,,3.54,0,0,113-115,0,0,0
9307748c-3174-41b4-a581-926ae1dc1a5a,新北市文仁非營利幼兒園(委託社團法人臺灣兒童教育發展協會辦理),新北市文仁非營利幼兒園(委託社團法人臺灣兒童教育發展協會辦理),新北市文仁非營利幼兒園,非營利,林口區,簡名吟,社團法人臺灣兒童教育發展協會,90,2000,2020/01/22,1,1024.11,525.1,499.01,5.83,0,0,無,0,0,0
934245b6-6578-4bdc-9ed6-98b561353049,新北市私立愛箂兒幼兒園,新北市私立愛箂兒幼兒園,新北市私立愛箂兒幼兒園,私立,三重區,陳偲維,,74,4600,2000/06/20,1,313.39,313.39,,4.23,0,0,113-115,2,96000,0
934a7446-000f-4d05-96f3-7430918aea13,新北市板橋區海山國民小學附設幼兒園,新北市板橋區海山國民小學附設幼兒園,新北市板橋區海山國民小學附設幼兒園,公立,板橋區,謝治平,,90,3728,1997/09/11,1,1246.0,666.0,580.0,7.4,0,0,無,0,0,0
939cfcd8-07d6-48db-af1b-e86ea2f9922a,新北市私立惠園幼兒園,新北市私立惠園幼兒園,新北市私立惠園幼兒園,私立,新莊區,劉素蘭,,59,4500,2000/05/04,1,208.91,208.91,,3.54,0,0,113-115,2,120000,0
9423b80a-77bf-4bf9-a9f1-45cb4438408b,新北市私立菲米力幼兒園,新北市私立菲米力幼兒園,新北市私立菲米力幼兒園,私立,五股區,林佳慧,,34,10000,2011/05/19,1,,,,,0,0,無,0,0,0
944c4b68-f147-442e-ad4f-94e0aa582c80,交通部航港局臺北港行政大樓職場互助教保服務中心(委託財團法人三之三生命教育基金會辦理),交通部航港局臺北港行政大樓職場互助教保服務中心(委託財團法人三之三生命教育基金會辦理),交通部航港局臺北港行政大樓職場互助教保服務中心,私立,八里區,吳文宗,財團法人三之三生命教育基金會,60,2000,2022/08/08,1,337.15,337.15,,5.62,0,0,無,0,0,0
94cedf73-dc3b-4aea-af19-7a9839ee288e,新北市私立小木屋蒙特梭利幼兒園,新北市私立小木屋蒙特梭利幼兒園,新北市私立小木屋蒙特梭利幼兒園,私立,林口區,張珊珊,,136,16067,2013/11/04,1,916.86,485.34,431.52,3.57,0,0,無,0,0,0
94d076cb-0ffd-4bd1-a7af-1ee33c9e0bed,新北市私立菲力中興幼兒園,新北市私立菲力中興幼兒園,新北市私立菲力中興幼兒園,私立,新店區,吳若虹,,77,19640,1999/02/08,1,300.19,300.19,,3.9,0,0,無,2,15000,0
94d3801f-37d1-42d3-b1db-77922f84830e,新北市立板橋幼兒園,新北市立板橋幼兒園,新北市立板橋幼兒園,公立,板橋區,林語蓁,,126,3706,1970/01/01,1,800.0,497.88,,3.95,0,0,無,0,0,0
95086c0c-b216-4140-a2ba-69c71ec0b7bb,新北市新莊區新泰國民小學附設幼兒園,新北市新莊區新泰國民小學附設幼兒園,新北市新莊區新泰國民小學附設幼兒園,公立,新莊區,許恒禎,,182,3728,1998/09/02,1,1578.0,720.0,858.0,3.96,0,0,無,0,0,0
9567eb0b-f638-4cc1-836e-0d5bece7e7df,新北市私立新學林幼兒園,新北市私立新學林幼兒園,新北市私立新學林幼兒園,私立,三重區,許義祥,,36,9400,2007/12/10,1,158.47,158.47,,4.4,0,0,無,0,0,0
95a28881-5893-4a12-b3a4-81749501840a,新北市私立若仁幼兒園,新北市私立若仁幼兒園,新北市私立若仁幼兒園,私立,板橋區,陳景賜,,270,14933,1974/09/16,1,1413.1,946.35,,3.5,0,0,無,0,0,0
