report_file,report_key,code,short_name,academic_year,entity,report_operator,contract_period,registry_ids,registry_titles,registry_operators,registry_reg_dates,operator_matched_ids,operator_match,contract_covers_year,candidate_count,entity_count,report_capacity,registry_capacities,capacity_exact_match,capacity_gap_min,join_status,join_evidence
N08_鷺江_113.json,N08_113,N08,鷺江,113,新北市鷺江非營利幼兒園,財團法人彭婉如文教基金會,中華民國110年8月1日至114年7月31日,"[""bc0ac35c-44a5-42f4-8c4e-b1f810ee4201""]","[""新北市鷺江非營利幼兒園(委託財團法人彭婉如文教基金會辦理)""]","[""財團法人彭婉如文教基金會""]","[""2017/07/06""]","[""bc0ac35c-44a5-42f4-8c4e-b1f810ee4201""]",True,True,1,1,100,[106],False,6,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:gap:6
N09_安興_110.json,N09_110,N09,安興,110,新北市安興非營利幼兒園,社團法人臺灣兒童教育發展協會,110年8月1日至114年7月31日,"[""0e702c3b-1483-4347-a88e-1b31274146b7"",""4364b579-747e-47d9-b6c2-6d8f630e33da""]","[""新北市安興非營利幼兒園(委託社團法人臺灣兒童教育發展協會辦理)"",""新北市安興非營利幼兒園(委託財團法人仁德醫護管理專科學校辦理)""]","[""社團法人臺灣兒童教育發展協會"",""財團法人仁德醫護管理專科學校""]","[""2018/07/05"",""2018/07/05""]","[""0e702c3b-1483-4347-a88e-1b31274146b7""]",True,True,2,1,60,[60],True,0,matched,short_name:2_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N09_安興_111.json,N09_111,N09,安興,111,新北市安興非營利幼兒園,社團法人臺灣兒童教育發展協會,110年8月1日至114年7月31日,"[""0e702c3b-1483-4347-a88e-1b31274146b7"",""4364b579-747e-47d9-b6c2-6d8f630e33da""]","[""新北市安興非營利幼兒園(委託社團法人臺灣兒童教育發展協會辦理)"",""新北市安興非營利幼兒園(委託財團法人仁德醫護管理專科學校辦理)""]","[""社團法人臺灣兒童教育發展協會"",""財團法人仁德醫護管理專科學校""]","[""2018/07/05"",""2018/07/05""]","[""0e702c3b-1483-4347-a88e-1b31274146b7""]",True,True,2,1,60,[60],True,0,matched,short_name:2_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N09_安興_112.json,N09_112,N09,安興,112,新北市安興非營利幼兒園,社團法人臺灣兒童教育發展協會,110年8月1日至114年7月31日,"[""0e702c3b-1483-4347-a88e-1b31274146b7"",""4364b579-747e-47d9-b6c2-6d8f630e33da""]","[""新北市安興非營利幼兒園(委託社團法人臺灣兒童教育發展協會辦理)"",""新北市安興非營利幼兒園(委託財團法人仁德醫護管理專科學校辦理)""]","[""社團法人臺灣兒童教育發展協會"",""財團法人仁德醫護管理專科學校""]","[""2018/07/05"",""2018/07/05""]","[""0e702c3b-1483-4347-a88e-1b31274146b7""]",True,True,2,1,60,[60],True,0,matched,short_name:2_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N09_安興_113.json,N09_113,N09,安興,113,新北市安興非營利幼兒園,社團法人臺灣兒童教育發展協會,110年8月1日至114年7月31日,"[""0e702c3b-1483-4347-a88e-1b31274146b7"",""4364b579-747e-47d9-b6c2-6d8f630e33da""]","[""新北市安興非營利幼兒園(委託社團法人臺灣兒童教育發展協會辦理)"",""新北市安興非營利幼兒園(委託財團法人仁德醫護管理專科學校辦理)""]","[""社團法人臺灣兒童教育發展協會"",""財團法人仁德醫護管理專科學校""]","[""2018/07/05"",""2018/07/05""]","[""0e702c3b-1483-4347-a88e-1b31274146b7""]",True,True,2,1,52,[60],False,8,matched,short_name:2_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:gap:8
N10_大觀_110.json,N10_110,N10,大觀,110,新北市大觀非營利幼兒園,社團法人新北市中華國際嬰幼兒發展學會,107年8月1日至111年7月31日,"[""f3f500d9-6da4-487a-bc60-c3c7547b87ec""]","[""新北市大觀非營利幼兒園(委託社團法人新北市中華國際嬰幼兒發展學會辦理)""]","[""社團法人新北市中華國際嬰幼兒發展學會""]","[""2018/07/05""]","[""f3f500d9-6da4-487a-bc60-c3c7547b87ec""]",True,True,1,1,106,[106],True,0,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N10_大觀_111.json,N10_111,N10,大觀,111,新北市大觀非營利幼兒園,社團法人新北市中華國際嬰幼兒發展學會,111年8月1日至115年7月31日,"[""f3f500d9-6da4-487a-bc60-c3c7547b87ec""]","[""新北市大觀非營利幼兒園(委託社團法人新北市中華國際嬰幼兒發展學會辦理)""]","[""社團法人新北市中華國際嬰幼兒發展學會""]","[""2018/07/05""]","[""f3f500d9-6da4-487a-bc60-c3c7547b87ec""]",True,True,1,1,106,[106],True,0,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N10_大觀_112.json,N10_112,N10,大觀,112,新北市大觀非營利幼兒園,社團法人新北市中華國際嬰幼兒發展學會,111年8月1日至115年7月31日,"[""f3f500d9-6da4-487a-bc60-c3c7547b87ec""]","[""新北市大觀非營利幼兒園(委託社團法人新北市中華國際嬰幼兒發展學會辦理)""]","[""社團法人新北市中華國際嬰幼兒發展學會""]","[""2018/07/05""]","[""f3f500d9-6da4-487a-bc60-c3c7547b87ec""]",True,True,1,1,106,[106],True,0,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N10_大觀_113.json,N10_113,N10,大觀,113,新北市大觀非營利幼兒園,社團法人新北市中華國際嬰幼兒發展學會,111年8月1日至115年7月31日,"[""f3f500d9-6da4-487a-bc60-c3c7547b87ec""]","[""新北市大觀非營利幼兒園(委託社團法人新北市中華國際嬰幼兒發展學會辦理)""]","[""社團法人新北市中華國際嬰幼兒發展學會""]","[""2018/07/05""]","[""f3f500d9-6da4-487a-bc60-c3c7547b87ec""]",True,True,1,1,100,[106],False,6,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:gap:6
N11_新林_110.json,N11_110,N11,新林,110,新北市新林非營利幼兒園,社團法人中華音樂舞蹈暨表演藝術教育協會,107年8月1日至111年7月31日,"[""35be58a7-e52b-48ab-81f4-7467716b43bd"",""c831268b-0e52-44ec-932e-3969c173862f""]","[""新北市新林非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理)"",""新北市新林非營利幼兒園(委託明新學校財團法人明新科技大學辦理)""]","[""社團法人中華音樂舞蹈暨表演藝術教育協會"",""明新學校財團法人明新科技大學""]","[""2018/07/05"",""2018/07/05""]","[""35be58a7-e52b-48ab-81f4-7467716b43bd""]",True,True,2,1,136,[136],True,0,matched,short_name:2_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N11_新林_111.json,N11_111,N11,新林,111,新北市新林非營利幼兒園,社團法人中華音樂舞蹈暨表演藝術教育協會,111年8月1日至115年7月31日,"[""35be58a7-e52b-48ab-81f4-7467716b43bd"",""c831268b-0e52-44ec-932e-3969c173862f""]","[""新北市新林非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理)"",""新北市新林非營利幼兒園(委託明新學校財團法人明新科技大學辦理)""]","[""社團法人中華音樂舞蹈暨表演藝術教育協會"",""明新學校財團法人明新科技大學""]","[""2018/07/05"",""2018/07/05""]","[""35be58a7-e52b-48ab-81f4-7467716b43bd""]",True,True,2,1,136,[136],True,0,matched,short_name:2_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N11_新林_112.json,N11_112,N11,新林,112,新北市新林非營利幼兒園,社團法人中華音樂舞蹈暨表演藝術教育協會,111年8月1日至115年7月31日,"[""35be58a7-e52b-48ab-81f4-7467716b43bd"",""c831268b-0e52-44ec-932e-3969c173862f""]","[""新北市新林非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理)"",""新北市新林非營利幼兒園(委託明新學校財團法人明新科技大學辦理)""]","[""社團法人中華音樂舞蹈暨表演藝術教育協會"",""明新學校財團法人明新科技大學""]","[""2018/07/05"",""2018/07/05""]","[""35be58a7-e52b-48ab-81f4-7467716b43bd""]",True,True,2,1,136,[136],True,0,matched,short_name:2_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N11_新林_113.json,N11_113,N11,新林,113,新北市新林非營利幼兒園,社團法人中華音樂舞蹈暨表演藝術教育協會,111年8月1日至115年7月31日,"[""35be58a7-e52b-48ab-81f4-7467716b43bd"",""c831268b-0e52-44ec-932e-3969c173862f""]","[""新北市新林非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理)"",""新北市新林非營利幼兒園(委託明新學校財團法人明新科技大學辦理)""]","[""社團法人中華音樂舞蹈暨表演藝術教育協會"",""明新學校財團法人明新科技大學""]","[""2018/07/05"",""2018/07/05""]","[""35be58a7-e52b-48ab-81f4-7467716b43bd""]",True,True,2,1,128,[136],False,8,matched,short_name:2_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:gap:8
