code,short_name,academic_year,personnel_budget,personnel_actual,personnel_shortfall,personnel_execution,development_expense,development_unbudgeted,ratio_transfer_to_shortfall
N25,碧城,112,8936062,7079229,1856833,0.7922,2020000,1,1.088
N28,新樂,110,8221561,6385242,1836319,0.7766,,0,
N20,柏翠,110,11590598,9767193,1823405,0.8427,,0,
N07,北大,112,16813922,14991246,1822676,0.8916,1772000,1,0.972
N24,佳林,112,7392606,5605418,1787188,0.7582,1720000,1,0.962
N21,文創,111,7142020,5405235,1736785,0.7568,1703000,1,0.981
N01,安溪,113,13712011,11978248,1733763,0.8736,5420000,1,3.126
N15,新月,110,12846439,11149982,1696457,0.8679,205788,1,0.121
N19,中園,112,12927321,11256942,1670379,0.8708,2210000,1,1.323
N19,中園,113,13224562,11556371,1668191,0.8739,3580000,1,2.146
N01,安溪,111,13190571,11539967,1650604,0.8749,1300000,1,0.788
N12,昌福,112,8684918,7038621,1646297,0.8104,2249000,1,1.366
N26,新店及人,111,8865497,7228314,1637183,0.8153,,0,
N24,佳林,113,7571434,5939032,1632402,0.7844,2588078,1,1.585
N01,安溪,112,13414768,11797585,1617183,0.8794,2388000,1,1.477
N20,柏翠,111,11871466,10307328,1564138,0.8682,,0,
N26,新店及人,113,9274296,7742381,1531915,0.8348,,0,
N08,鷺江,110,8428787,6903487,1525300,0.819,836278,1,0.548
N31,翠中,111,6135523,4620897,1514626,0.7531,,0,
N27,育平,111,8743585,7235158,1508427,0.8275,2329334,1,1.544
N22,文仁,113,8086166,6584499,1501667,0.8143,2927000,1,1.949
N12,昌福,111,8488051,7001260,1486791,0.8248,1900000,1,1.278
N06,昌平,110,8566753,7099629,1467124,0.8287,613100,1,0.418
N22,文仁,112,7901688,6441218,1460470,0.8152,2290000,1,1.568
N03,龍埔成長,111,8163410,6737493,1425917,0.8253,1000000,1,0.701
N21,文創,113,8063442,6659960,1403482,0.8259,2383133,1,1.698
N21,文創,110,6945385,5557050,1388335,0.8001,1704960,1,1.228
N12,昌福,110,6932128,5558696,1373432,0.8019,1200000,1,0.874
N33,淡海,112,13032340,11672852,1359488,0.8957,1422994,1,1.047
N30,文中,111,7412692,6055356,1357336,0.8169,,0,
N19,中園,111,9918549,8582980,1335569,0.8653,980000,1,0.734
N27,育平,110,8104538,6791109,1313429,0.8379,954179,1,0.726
N34,佳和,113,9692796,8382581,1310215,0.8648,2760743,1,2.107
N24,佳林,111,7233624,5930070,1303554,0.8198,1925000,1,1.477
N21,文創,112,7875376,6575048,1300328,0.8349,2491778,1,1.916
N08,鷺江,111,8645267,7382340,1262927,0.8539,1573640,1,1.246
N07,北大,110,10473539,9226416,1247123,0.8809,99000,1,0.079
N08,鷺江,113,9054090,7810400,1243690,0.8626,2245150,1,1.805
N06,昌平,113,9192044,7955962,1236082,0.8655,1783086,1,1.443
N22,文仁,111,7298904,6071285,1227619,0.8318,1580000,1,1.287
N16,中平,113,10119004,8896657,1222347,0.8792,1465000,1,1.199
N23,菁湖,113,9827735,8617950,1209785,0.8769,3005377,1,2.484
N30,文中,112,9582611,8377365,1205246,0.8742,594200,1,0.493
N13,三多,112,8984246,7834805,1149441,0.8721,1200000,1,1.044
N05,漢翔,110,7006576,5862148,1144428,0.8367,766300,1,0.67
N27,育平,113,9152396,8028796,1123600,0.8772,2603007,1,2.317
N31,翠中,112,7931306,6812566,1118740,0.8589,254018,1,0.227
N09,安興,111,5220945,4104465,1116480,0.7862,1375000,1,1.232
N23,菁湖,111,7830050,6714037,1116013,0.8575,1052100,1,0.943
N31,翠中,113,8097865,7010982,1086883,0.8658,1716198,1,1.579
N13,三多,111,8777982,7732482,1045500,0.8809,1100000,1,1.052
N16,中平,111,9691500,8646665,1044835,0.8922,1396000,1,1.336
N02,山北,113,10081983,9040242,1041741,0.8967,2204787,1,2.116
