code,short_name,academic_year,available_from,panel_total_assets,panel_total_liabilities,panel_current_assets_total,panel_current_liabilities_total,panel_cash,panel_prepaid_receipts,panel_accumulated_surplus,panel_current_surplus,panel_equity_total,panel_收入合計_決算,panel_支出合計_決算,panel_total_staff,panel_educators,panel_approved_capacity,panel_actual_enrolment,pretax_surplus,cf_receivables,cf_prepaid_receipts,cash_open,cash_close,pay_educators,pay_support,pay_overtime,pay_insurance,pay_pension,pay_welfare,pay_health_check,pay_severance,tuition_gross,tuition_deduction,tuition_net,operating_cost,tuition_net_surplus,development_fee_fn,interest_income,approved_capacity_fn,operating_months,approved_total_fn,bt_人事費_budget,bt_人事費_actual,bt_業務費_budget,bt_業務費_actual,bt_材料費_budget,bt_材料費_actual,bt_維護費_budget,bt_維護費_actual,bt_修繕購置費_budget,bt_修繕購置費_actual,bt_雜支_budget,bt_雜支_actual,bt_行政管理費_budget,bt_行政管理費_actual,n_sections,tuition_per_child_month,cost_per_child_month,tuition_cost_ratio,personnel_detail_total,educator_pay_share,overtime_share,pension_share,cash_change,exec_人事費,exec_業務費,exec_材料費,exec_維護費,exec_修繕購置費,exec_雜支,exec_行政管理費,cf_payables
N06,昌平,110,111/7/31,11454209.0,9634911.0,5614254.0,3806456.0,5319138.0,2527673.0,207443.0,1611855.0,1819298.0,14059209.0,12416699.0,13.0,10.0,120.0,120.0,1642510.0,-10362.0,321423.0,3674287.0,5319138.0,5365305.0,1195804.0,651300.0,777552.0,349920.0,13000.0,1000.0,48600.0,11741812.0,-89167.0,11652645.0,-9575594.0,2077051.0,-613100.0,28253.0,120.0,12.0,1440.0,8566753.0,7099629.0,819400.0,532499.0,1808400.0,1462619.0,143000.0,54588.0,168000.0,140166.0,49164.0,23313.0,262780.0,262780.0,4,8092.114583333333,-6649.718055555556,-1.2169109300164564,8402481.0,0.6385381888992072,0.07751282032056961,0.0416448427553719,1644851.0,0.8287421150113701,0.6498645350256285,0.8087917496129174,0.3817342657342657,0.8343214285714285,0.47418843055894555,1.0,-70507.0
N06,昌平,111,112/7/31,13342087.0,11589833.0,5765683.0,4024929.0,5654815.0,2440957.0,1819298.0,-67044.0,1752254.0,13965976.0,14033020.0,13.0,10.0,120.0,120.0,-67044.0,3522.0,-86716.0,5319138.0,5654815.0,5504355.0,1216661.0,667056.0,796505.0,358452.0,13000.0,13000.0,49785.0,11744640.0,-99799.0,11644841.0,-10368216.0,1276625.0,-1382600.0,38872.0,120.0,12.0,1440.0,8783086.0,7770536.0,819400.0,559276.0,1808400.0,1575211.0,143000.0,73263.0,168000.0,115092.0,49164.0,12058.0,262780.0,262780.0,4,8086.695138888888,-7200.150000000001,-1.1231287041087878,8618814.0,0.63864413363602,0.07739533536748791,0.0415894808728904,335677.0,0.8847159187556629,0.6825433243836954,0.8710523114355231,0.5123286713286713,0.6850714285714286,0.245260759905622,1.0,-6780.0
N06,昌平,112,113/7/31,15705283.0,13765887.0,6039073.0,4111177.0,5823963.0,2737503.0,1752254.0,187142.0,1939396.0,15138118.0,14950976.0,13.0,10.0,120.0,118.0,187142.0,630.0,296546.0,5654815.0,5823963.0,5643405.0,1237519.0,682968.0,815448.0,366972.0,13000.0,1000.0,50969.0,11753640.0,-148475.0,11605165.0,-9459498.0,2145667.0,-2039112.0,71787.0,120.0,12.0,1440.0,8975553.0,6839375.0,819400.0,514283.0,1808400.0,1602786.0,143000.0,104233.0,168000.0,116753.0,49164.0,19288.0,262780.0,262780.0,4,8059.14236111111,-6569.095833333333,-1.226826730128808,8811281.0,0.6404749774748983,0.07751063664863259,0.04164797377362043,169148.0,0.7620004026492853,0.6276336343666097,0.886300597213006,0.7289020979020979,0.6949583333333333,0.39231958343503376,1.0,112579.0
N06,昌平,113,114/7/31,16254782.0,14917899.0,4831707.0,3506324.0,4822001.0,2030400.0,1939396.0,-602513.0,1336883.0,14632460.0,15234973.0,13.0,10.0,112.0,105.0,-602513.0,-780.0,-707103.0,5823963.0,4822001.0,5782455.0,1258376.0,698880.0,834403.0,375504.0,13000.0,13000.0,52154.0,11765429.0,-76214.0,11689215.0,-10610198.0,1079017.0,-1783086.0,94566.0,112.0,12.0,1344.0,9192044.0,7955962.0,819400.0,501842.0,1956640.0,1638179.0,143000.0,70966.0,156800.0,157505.0,49164.0,8140.0,277604.0,277604.0,4,8697.332589285714,-7894.492559523809,-1.101696217167672,9027772.0,0.6405185022395338,0.0774144495452477,0.041594315851131373,-1001962.0,0.8655269709326892,0.612450573590432,0.8372408823288904,0.4962657342657343,1.0044961734693878,0.16556830200960052,1.0,-100804.0
N07,北大,110,111/7/31,11779938.0,10127455.0,6061415.0,4408932.0,6036334.0,2664450.0,129477.0,1523006.0,1652483.0,16159911.0,14636905.0,16.0,12.0,150.0,149.0,,,,,,,1619366.0,794496.0,948542.0,426876.0,16000.0,2000.0,59289.0,14247593.0,-135167.0,14112426.0,-12523135.0,1589291.0,-99000.0,27037.0,150.0,12.0,1800.0,10473539.0,9226416.0,899400.0,685944.0,2260500.0,1973721.0,143000.0,67720.0,210000.0,202136.0,53964.0,51208.0,315990.0,315990.0,3,7840.236666666667,-6957.297222222222,-1.126908397937098,3866569.0,,0.2054782935465525,0.110401754113272,,0.8809263038978515,0.7626684456304202,0.873134704711347,0.4735664335664336,0.9625523809523809,0.9489289155733452,1.0,
N07,北大,111,112/7/31,16195719.0,14020598.0,8932995.0,6757874.0,8778113.0,4416875.0,1652483.0,522638.0,2175121.0,21855494.0,21332856.0,23.0,17.0,182.0,180.0,,-108139.0,1752425.0,6036334.0,8778113.0,9394761.0,2600628.0,1240896.0,1573088.0,666816.0,23000.0,23000.0,92614.0,20293031.0,-209772.0,20083259.0,-18226488.0,1856771.0,-1400000.0,67581.0,182.0,12.0,2184.0,16463139.0,14516199.0,1138500.0,588451.0,2450630.0,2312942.0,190000.0,191755.0,254800.0,227960.0,68310.0,30268.0,358913.0,358913.0,4,9195.63141025641,-8345.461538461539,-1.1018721214970213,15614803.0,0.6016573504001299,0.07946920623974571,0.042704093032745916,2741779.0,0.8817394422776847,0.5168651734738692,0.9438152638301172,1.009236842105263,0.8946624803767661,0.4430976430976431,1.0,
N07,北大,112,113/7/31,18129973.0,16006698.0,9373172.0,7249897.0,9280051.0,4846095.0,2175121.0,-51846.0,2123275.0,23797554.0,23849400.0,23.0,17.0,182.0,180.0,,,,,,9626113.0,2643963.0,1269600.0,1609459.0,682236.0,23000.0,2000.0,94756.0,20772125.0,-331875.0,20440250.0,-18878559.0,1561691.0,-1772000.0,125882.0,182.0,12.0,2184.0,16813922.0,14991246.0,1138500.0,653272.0,2450630.0,2438717.0,190000.0,155492.0,254800.0,243262.0,68310.0,37657.0,358913.0,358913.0,3,9359.088827838828,-8644.028846153846,-1.0827229980847586,15951127.0,0.6034754158750036,0.07959312216622688,0.04277039484420129,,0.8915972133093041,0.5738006148440931,0.9951388010429971,0.8183789473684211,0.9547174254317111,0.5512662860488947,1.0,
N07,北大,113,114/7/31,12687968.0,7938726.0,10535865.0,5786623.0,10214084.0,,2123275.0,2625967.0,4749242.0,29145666.0,25409886.0,23.0,17.0,162.0,137.0,,-11360.0,-4846095.0,9280051.0,10214084.0,9857485.0,2687351.0,1298304.0,1550232.0,697668.0,23000.0,,,19063795.0,-135318.0,18928477.0,-21249518.0,-2321041.0,-1170239.0,197821.0,162.0,12.0,1944.0,17082193.0,17915419.0,985400.0,596627.0,2570130.0,2067204.0,163000.0,129310.0,226800.0,172003.0,59124.0,13402.0,355553.0,355553.0,4,9736.870884773662,-10930.822016460907,-0.8907720636298668,16114040.0,0.6117326877679341,0.08056973918396627,0.04329566018205242,934033.0,1.048777460833044,0.6054668155063934,0.8043188476847475,0.7933128834355828,0.7583906525573192,0.22667613828563696,1.0,18326.0
N08,鷺江,110,111/7/31,12511079.0,10764321.0,5553843.0,3810085.0,4995159.0,2206092.0,190412.0,1556346.0,1746758.0,13749148.0,12190875.0,13.0,10.0,106.0,102.0,1558273.0,280887.0,173850.0,3399462.0,4995159.0,,1174946.0,639444.0,763490.0,343596.0,13000.0,1000.0,47722.0,11370572.0,-72811.0,11297761.0,-9029510.0,2268251.0,-836278.0,1094.0,106.0,12.0,1272.0,8428787.0,6903487.0,819400.0,443209.0,1597420.0,1222323.0,143000.0,73357.0,148400.0,139375.0,49164.0,6077.0,241682.0,241682.0,4,8881.887578616352,-7098.671383647798,-1.2512042181690923,2983198.0,,0.2143484944680172,0.11517706836757063,1595697.0,0.8190368317528963,0.5408945569929217,0.765185737000914,0.512986013986014,0.9391846361185984,0.12360670409242536,1.0,-47998.0
N08,鷺江,111,112/7/31,14295302.0,12092325.0,5905333.0,3680903.0,5697457.0,2539981.0,1746758.0,456219.0,2202977.0,14209848.0,13753629.0,13.0,10.0,106.0,105.0,456219.0,-5461.0,333889.0,4995159.0,5697457.0,5406615.0,1195804.0,655356.0,782434.0,352128.0,13000.0,13000.0,48906.0,11365099.0,-61408.0,11303691.0,-9429339.0,1874352.0,-1573640.0,35454.0,106.0,12.0,1272.0,8645267.0,7382340.0,819400.0,415654.0,1597420.0,1126007.0,143000.0,108915.0,148400.0,153431.0,49164.0,1310.0,241682.0,241682.0,4,8886.549528301886,-7413.002358490566,-1.1987787266954768,8467243.0,0.6385331093013393,0.07739898335266863,0.04158709039057932,702298.0,0.853916946694648,0.5072662924090798,0.7048910117564573,0.7616433566433567,1.0339016172506739,0.02664551297697502,1.0,63804.0
