channel,institution_id,institution_title,headline,url,published,publisher,attribution_basis,kind,status
news_rss,08917a82-ed8e-42ec-b59f-c2e756852234,新北市私立欣勵德幼兒園,板橋欣勵德幼兒園虐童案持續延燒：園長當眾脫衣羞辱 檢方裁定5萬元交保 - PChome Online 新聞,https://news.google.com/rss/articles/CBMijwFBVV95cUxPc09teDl6ektGQ0xKdlpFalZyNDRtc1R6WDlvbHlZMFJZWktSUEo1RGdTTV9RQWE3MEZ2X00zSE5CU1p2WnNhaGhEU1MtY2wxRW9fTlU1LVhrcm1JN1FvT21EMFJfUWZoQVFKNkxBNXVZNHY4QUJ3M0xYUWt0b0pzWkNGRFJBbXltQ2JLNGozTQ?oc=5,2026-04-11,PChome Online 新聞,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
news_rss,08917a82-ed8e-42ec-b59f-c2e756852234,新北市私立欣勵德幼兒園,板橋欣勵德幼兒園虐童案持續延燒：園長當眾脫衣羞辱 檢方裁定5萬元交保 - 新頭條,https://news.google.com/rss/articles/CBMiVEFVX3lxTE1XOW9NWlhOMkNRSFB0OWEwQjl3UVRTOWFuU05IZFhfdl9zOG9hRWNHTG1Yc0phNTA5Mm9zaENyQTdmdUZvYldaQ19KQWpZa1NiakNuYg?oc=5,2026-04-11,新頭條,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
news_rss,08917a82-ed8e-42ec-b59f-c2e756852234,新北市私立欣勵德幼兒園,新北板橋欣勵德幼兒園涉不當對待 家長控女兒遭當眾扯衣 - 自由時報,https://news.google.com/rss/articles/CBMiZEFVX3lxTE51MjRSUklsY0hqSnp6d1ZHUlRGZlRpLU1RaVBjS2dxTkdiZWMtQnpOX1Vwc0NOZkV2ekVzNVAtRDZ4Q29JZVUyaU9aZklwdVg5WEtsMTF6SmxmOGtfbXZLOU5sdzPSAWpBVV95cUxQbEw5OWNiUThxT3NiV3dCS092bGh4Z0xLbHpHQjlIVlVWZXFaX1RheV85SmxicGs1YjU3SXZyaFc0TDl5emNGTmlvbUtwcjJia2ttdzFQb0JwRjNpN0p2RjYybG1DY0RNTjBR?oc=5,2026-04-10,自由時報,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
news_rss,08917a82-ed8e-42ec-b59f-c2e756852234,新北市私立欣勵德幼兒園,板橋欣勵德幼兒園爆虐童！園長失控剝褲羞辱，母泣：看動物一樣 - 造咖,https://news.google.com/rss/articles/CBMiSEFVX3lxTE52cmFfU0Z0SWlfYnU5UWdoTjBpUGotLV9qR2xBemR5Nmk3T3lRakZrRlVBQ3VheE1JamIyX21qYTZ3ZWNULWpkbA?oc=5,2026-04-10,造咖,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
news_rss,08917a82-ed8e-42ec-b59f-c2e756852234,新北市私立欣勵德幼兒園,欣勵德幼兒園涉虐童　園長5萬交保躲廁所 - 鏡週刊Mirror Media,https://news.google.com/rss/articles/CBMiXEFVX3lxTE8tdlNEN2FadUlxU3RfVEJpR2pJREpIWk1NU1lTc2d5MHRRZlFDbkxfTjJiWHF3TTN4S3JycHh3bE5HTmMwcE5yWVVpSFM2SmlLWkJlZUs5eFJTQzlH0gFiQVVfeXFMUE9xRTRIdE11TmlRTzJmVHBEOXQ3dkZXNU5sMlZma0VUSnBiNW5vR01OUVFBS3VkNDl3UzNyU2w4S3hVR25xcTcxTVhuU3gtVVoyanoxV1VfelF1Q1V5a2U0TlE?oc=5,2026-04-10,鏡週刊Mirror Media,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
news_rss,08917a82-ed8e-42ec-b59f-c2e756852234,新北市私立欣勵德幼兒園,新北「欣勵德幼兒園」涉當眾逼脫衣虐童　女園長5萬元交保怕曝光躲廁所 - 三立新聞,https://news.google.com/rss/articles/CBMiSEFVX3lxTE95ek9rN3JxMXEzaklEWWlzVVZIWGl0VTVhZmt0VDVwazF3dVhoWjR1eGtiQk0ydWxlQldiWlJVYXdtUnRZVlJvMNIBTEFVX3lxTE9TbG1pd19fNFlfNWZKblFxMUUtaGFfZzkyaWdLQTBwam81YkF5Zk5uT1h2OGlXbU9pVGRxNTl5NGVaREhMOWRGVnkwRkY?oc=5,2026-04-10,三立新聞,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
news_rss,08917a82-ed8e-42ec-b59f-c2e756852234,新北市私立欣勵德幼兒園,欣勵德幼兒園女童遭暴力脫衣！家長調監視器真相全曝光 母心疼淚崩 - 緯來新聞網,https://news.google.com/rss/articles/CBMihgFBVV95cUxORlBueTAtWTZ4cjFGNWo1VE54MlZJM2hUblF2VmNRUXdEZTE1WXppRlJYZDJwWVBDdzl1c01tSjVEaGY3X2xRenY2NDRqVFF3M015QWQ5QlVJQVdVRmJoakZQTzhBNnBXaVNUcXNEYW10ZG9PRUpmSEhvXzE2ZllIRm16b2p2QQ?oc=5,2026-04-10,緯來新聞網,標題以機構名稱形式出現可辨識名稱,unclear,待人工研判
news_rss,60ff647e-9f81-40a8-8f7e-9aa54cac7dc8,新北市私立學仕幼兒園,新北三重學仕幼兒園體罰5幼生重罰教保員60萬勒令停招| 地方 - cna.com.tw,https://news.google.com/rss/articles/CBMiX0FVX3lxTFBwSkpTYmlxTURraHlsQ0ZwaGZabXZLX25pdkU2MmJYUWlzdExHRUtaLXFXQ0tjWnlyLVdKR0VidVB4alRqZE1Gdk5pZm1RYjNNRXRMZmVNU0Vra0VFMVJV?oc=5,2024-08-08,cna.com.tw,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
news_rss,60ff647e-9f81-40a8-8f7e-9aa54cac7dc8,新北市私立學仕幼兒園,新北嚴懲重罰公告、勒令停招 三重私立學仕幼兒園不當對待幼生調查屬實 - 大成報,https://news.google.com/rss/articles/CBMidkFVX3lxTFBwV3lZWnB3emxTODFNZ0R4ZjgwSklxcGM3N1dKNnlUZk9aUjFVbTdvalRBNWl0NHhtNndJQTJTZTdKYlRtY1pQQ0QzNTRoakEwRC1HbGVJM3B2RFBleDhIclBGRUhLMVVRNDNhMkpycENZSWxJTVE?oc=5,2024-08-08,大成報,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
news_rss,60ff647e-9f81-40a8-8f7e-9aa54cac7dc8,新北市私立學仕幼兒園,三重「學仕幼兒園」教保員體罰幼生 新北教局罰60萬勒令停招 - 自由時報,https://news.google.com/rss/articles/CBMiaEFVX3lxTE85STdKcjJJQ09kVjJzZnNQSHNGd0J0MGVOMDFGVkUyV2NtSjVjdVp1R0xkYVd1ZWxYYlk2Vi1hc0hhQ25WaDB1ZEFoSzZsV0s4blpVZ1VHZzFhVUlDbzd5YzN4cEF0bmlW0gFuQVVfeXFMUFliSTN1LV9haE9zbE85Z1QtSXFjLTZSbTBqLVBVcm4wZFNybDhGeERPeWJxU3NRTjFvdVhUMkZnYjE3UjBZVTBsZUo4dkFpWi1FSThuT2VYT1A0WWtfOUhza05wZWRvRFFBWjVDMkE?oc=5,2024-08-08,自由時報,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
