code,short_name,academic_year,anomaly_score,rank_in_year,percentile_in_year,n_peers,n_features,change_score,n_anomalies,anomaly_1,anomaly_2,anomaly_3,contribution_1,contribution_2,contribution_3
N12,昌福,110,0.7541,14,51.9,28,16,,1,修繕購置費執行率 0.099（同年中位 0.953，偏低，第 4 百分位；同儕 28 園）,,,修繕購置費執行率 0.099（同年中位 0.953，偏低，第 4 百分位；同儕 28 園）,代收代付等占收入比 0.074（同年中位 0.147，偏低，第 8 百分位；同儕 24 園）,人事費執行率 0.802（同年中位 0.870，偏低，第 14 百分位；同儕 28 園）
N06,昌平,113,0.7504,15,62.2,38,16,0.7987,0,,,,行政管理費占收入比 0.019（同年中位 0.015，偏高，第 97 百分位；同儕 38 園）,材料費占支出比 0.108（同年中位 0.088，偏高，第 92 百分位；同儕 38 園）,負債占資產比 0.918（同年中位 0.868，偏高，第 87 百分位；同儕 38 園）
N32,板橋員工子女,113,0.7488,16,59.5,38,16,0.5642,0,,,,業務費占支出比 0.014（同年中位 0.030，偏低，第 3 百分位；同儕 38 園）,預收款覆蓋倍數 1.607（同年中位 2.215，偏低，第 6 百分位；同儕 34 園）,人事費占支出比 0.662（同年中位 0.558，偏高，第 84 百分位；同儕 38 園）
N12,昌福,112,0.7464,18,48.5,34,16,0.8719,1,修繕購置費執行率 0.258（同年中位 0.900，偏低，第 6 百分位；同儕 34 園）,,,修繕購置費執行率 0.258（同年中位 0.900，偏低，第 6 百分位；同儕 34 園）,師生比（每師幼兒數） 12.714（同年中位 11.062，偏高，第 97 百分位；同儕 34 園）,行政管理費占收入比 0.018（同年中位 0.016，偏高，第 91 百分位；同儕 34 園）
N27,育平,113,0.7433,17,56.8,38,15,0.9791,0,,,,維護費執行率 0.279（同年中位 0.706，偏低，第 8 百分位；同儕 38 園）,流動比率 1.692（同年中位 1.455，偏高，第 79 百分位；同儕 38 園）,未編列預算支出占比 0.612（同年中位 0.426，偏高，第 89 百分位；同儕 38 園）
N12,昌福,113,0.743,18,54.1,38,16,0.8615,0,,,,人事費執行率 0.761（同年中位 0.874，偏低，第 5 百分位；同儕 38 園）,行政管理費占收入比 0.019（同年中位 0.015，偏高，第 100 百分位；同儕 38 園）,本期餘絀率 -0.065（同年中位 0.030，偏低，第 11 百分位；同儕 37 園）
N33,淡海,113,0.7353,19,51.4,38,16,1.2019,0,,,,修繕購置費執行率 1.429（同年中位 0.953，偏高，第 89 百分位；同儕 38 園）,本期餘絀率 -0.094（同年中位 0.030，偏低，第 5 百分位；同儕 37 園）,維護費執行率 0.388（同年中位 0.706，偏低，第 18 百分位；同儕 38 園）
N24,佳林,110,0.7339,15,48.1,28,16,,0,,,,代收代付等占收入比 0.050（同年中位 0.147，偏低，第 4 百分位；同儕 24 園）,預收款覆蓋倍數 2.833（同年中位 2.203，偏高，第 86 百分位；同儕 28 園）,本期餘絀率 0.153（同年中位 0.070，偏高，第 96 百分位；同儕 28 園）
N05,漢翔,110,0.7337,16,44.4,28,16,,0,,,,"每生成本 144,866.868（同年中位 114,001.366，偏高，第 100 百分位；同儕 28 園）",材料費占支出比 0.082（同年中位 0.108，偏低，第 11 百分位；同儕 28 園）,未編列預算支出占比 0.579（同年中位 0.411，偏高，第 96 百分位；同儕 28 園）
N21,文創,113,0.7204,20,48.6,38,15,0.51,0,,,,招收利用率 0.910（同年中位 0.974，偏低，第 18 百分位；同儕 38 園）,"每生成本 192,743.634（同年中位 164,419.555，偏高，第 95 百分位；同儕 38 園）",維護費執行率 0.348（同年中位 0.706，偏低，第 11 百分位；同儕 38 園）
N22,文仁,113,0.7095,21,45.9,38,15,0.3959,0,,,,修繕購置費執行率 0.398（同年中位 0.953，偏低，第 3 百分位；同儕 38 園）,師生比（每師幼兒數） 11.429（同年中位 9.589，偏高，第 95 百分位；同儕 38 園）,預收款覆蓋倍數 2.767（同年中位 2.215，偏高，第 85 百分位；同儕 34 園）
N28,新樂,113,0.7081,22,43.2,38,16,0.4921,0,,,,人事費執行率 0.770（同年中位 0.874，偏低，第 8 百分位；同儕 38 園）,業務費占支出比 0.044（同年中位 0.030，偏高，第 95 百分位；同儕 38 園）,師生比（每師幼兒數） 10.944（同年中位 9.589，偏高，第 84 百分位；同儕 38 園）
N18,福營,112,0.7017,19,45.5,34,15,0.6013,0,,,,負債占資產比 0.782（同年中位 0.871，偏低，第 15 百分位；同儕 34 園）,材料費占支出比 0.122（同年中位 0.097，偏高，第 91 百分位；同儕 34 園）,人事費執行率 0.958（同年中位 0.843，偏高，第 100 百分位；同儕 34 園）
N14,積穗,113,0.6999,23,40.5,38,16,0.992,0,,,,人事費占支出比 0.695（同年中位 0.558，偏高，第 97 百分位；同儕 38 園）,行政管理費占收入比 0.012（同年中位 0.015，偏低，第 11 百分位；同儕 38 園）,"每生成本 136,438.098（同年中位 164,419.555，偏低，第 13 百分位；同儕 38 園）"
N07,北大,110,0.6997,17,40.7,28,16,,0,,,,材料費占支出比 0.135（同年中位 0.108，偏高，第 89 百分位；同儕 28 園）,行政管理費占收入比 0.020（同年中位 0.011，偏高，第 96 百分位；同儕 28 園）,未編列預算支出占比 0.275（同年中位 0.411，偏低，第 18 百分位；同儕 28 園）
N11,新林,111,0.6991,16,51.6,32,16,0.806,0,,,,人事費執行率 0.956（同年中位 0.856，偏高，第 100 百分位；同儕 32 園）,負債占資產比 0.893（同年中位 0.836，偏高，第 88 百分位；同儕 32 園）,代收代付等占收入比 0.072（同年中位 0.127，偏低，第 22 百分位；同儕 27 園）
