title,fee_109,fee_110,fee_111,fee_112,fee_113,fee_114,max_jump_pct,max_jump_pre113_pct
新北市板橋區文聖國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市板橋區新埔國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市板橋區板橋國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市板橋區江翠國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市板橋區沙崙國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市板橋區海山國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市板橋區溪洲國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市板橋區莒光國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市板橋區重慶國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市林口區南勢國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市林口區嘉寶國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市林口區林口國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市林口區瑞平國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市林口區興福國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市林口區頭湖國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市林口區麗園國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市林口區麗林國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市柏翠非營利幼兒園(委託財團法人心路社會福利基金會辦理),46270,46270,,,,,0.0,0.0
新北市樹林區三多國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市樹林區大同國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市樹林區山佳國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市樹林區彭福國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市樹林區文林國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市樹林區樹林國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市樹林區武林國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市樹林區育德國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市樹林區育林國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市永和區永和國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市永和區永平國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市永和區秀朗國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市永和區網溪國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市永和區頂溪國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市汐止區保長國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市汐止區北峰國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市汐止區北港國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市汐止區崇德國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市汐止區樟樹國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市汐止區汐止國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市汐止區白雲國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市汐止區秀峰國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市汐止區農會附設新北市私立汐農幼兒園,39571,45601,46201,46807,54235,54235,15.87,15.24
新北市汐止區金龍國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市汐止區長安國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市泰山區同榮國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市泰山區明志國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市泰山區泰山國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市海工非營利幼兒園(委託社團法人新北市幼兒成長協會辦理),51786,51786,,,,,0.0,0.0
新北市淡水區中泰國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市淡水區坪頂國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市淡水區天生國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市淡水區屯山國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市淡水區文化國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市淡水區新市國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市淡水區新興國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市淡水區水源國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市淡水區淡水國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市淡水區竹圍國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市淡水區育英國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市淡水區興仁國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市淡水區鄧公國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市深坑區深坑國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市漢翔非營利幼兒園(委託財團法人三之三生命教育基金會辦理),59568,59568,,,,,0.0,0.0
新北市烏來區福山國民小學附設幼兒園,16675,16675,,,,,0.0,0.0
新北市瑞芳區九份國民小學附設幼兒園,18025,18025,18025,18025,18025,18025,0.0,0.0
新北市瑞芳區吉慶國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市瑞芳區濂洞國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市瑞芳區猴硐國民小學附設幼兒園,16675,16675,,,,,0.0,0.0
新北市瑞芳區瑞亭國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市瑞芳區瑞柑國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市瑞芳區瑞濱國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市瑞芳區瑞芳國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市瑞芳區瑞芳國民小學附設幼兒園東和分班,,,,16675,16675,16675,0.0,
新北市瑞芳區瑞芳國民小學附設幼兒園爪峰分班,,,,16675,16675,16675,0.0,
新北市瑞芳區瓜山國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市瑞芳區義方國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市瑞芳區鼻頭國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市石碇區和平國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市石碇區永定國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市石碇區石碇國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市石門區乾華國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市石門區石門國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市石門區老梅國民小學附設幼兒園,16675,16675,16675,16675,,,0.0,0.0
新北市碧城非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理),,49026,,,,,,
新北市福營非營利幼兒園(委託社團法人中華兆陽文教發展協會辦理),50658,50658,,,,,0.0,0.0
新北市私立七賢幼兒園,74000,74000,80600,84350,84350,84350,8.92,8.92
新北市私立三之三幼兒園,76800,79467,79467,81100,81100,81100,3.47,3.47
新北市私立三元幼兒園,97800,97800,97800,97800,97800,97800,0.0,0.0
新北市私立三和幼兒園,113475,113475,113475,130350,131183,131183,14.87,14.87
新北市私立三愛幼兒園,58350,60600,62250,62250,62250,62250,3.86,3.86
新北市私立三暉幼兒園,79600,79600,79600,79600,79600,81850,2.83,0.0
新北市私立三民幼兒園,105000,105000,118500,118500,118500,118500,12.86,12.86
新北市私立三重忠孝幼兒園,72650,72650,72650,72650,75977,75977,4.58,0.0
新北市私立上綸幼兒園,60000,73700,73700,76220,86240,86240,22.83,22.83
新北市私立中中幼兒園,57388,61048,61768,62680,66358,66358,6.38,6.38
新北市私立中仁幼兒園,67700,75617,75617,78950,78950,78950,11.69,11.69
新北市私立中冠幼兒園,,54480,54480,65370,65370,65370,19.99,19.99
新北市私立中和松柏幼兒園,67562,77750,80000,80000,80000,80000,15.08,15.08
新北市私立中華兒童幼兒園,53330,55190,55790,56642,61974,61974,9.41,3.49
新北市私立丹力幼兒園,93212,95825,106538,97075,102362,104818,11.18,11.18
新北市私立丹妮爾幼兒園,68767,77525,77525,77525,86550,86550,12.74,12.74
新北市私立互仁幼兒園,52200,54450,63000,63000,63000,63000,15.7,15.7
新北市私立亞特幼兒園,58699,64099,64099,64099,68485,68485,9.2,9.2
新北市私立京揚幼兒園,74500,77250,93900,97800,111300,112050,21.55,21.55
新北市私立人文幼兒園,64300,69875,69875,76500,77938,77938,9.48,9.48
新北市私立仁愛幼兒園,108600,108600,,,,,0.0,0.0
新北市私立仁慈幼兒園,60674,64454,65414,66386,69656,69656,6.23,6.23
新北市私立今人園幼兒園,68000,68000,68000,68000,68000,68000,0.0,0.0
新北市私立今仁幼兒園,29000,35525,44925,44925,,,26.46,26.46
新北市私立企鵝家族幼兒園,79500,79500,90000,90000,101250,101250,13.21,13.21
新北市私立休士頓幼兒園,75500,75500,75500,75500,78125,78125,3.48,0.0
新北市私立何嘉仁幼兒園,115051,115051,115051,124801,125596,125596,8.47,8.47
新北市私立何嘉仁得和幼兒園,118526,118526,118526,135101,136082,136082,13.98,13.98
新北市私立何嘉仁昌隆幼兒園,113126,113126,113126,113126,,,0.0,0.0
新北市私立佩思幼兒園,111500,111500,111500,115000,115000,115000,3.14,3.14
新北市私立佳佳安幼兒園,56970,61710,62670,63642,67296,67296,8.32,8.32
新北市私立佳佳安長榮幼兒園,76150,76150,87250,91750,97175,97175,14.58,14.58
新北市私立佳兒幼兒園,60050,60050,60050,67700,69575,69575,12.74,12.74
新北市私立佳南幼兒園,104750,104750,113250,113250,113250,113250,8.11,8.11
新北市私立佳呈幼兒園,146200,146200,146200,146200,153862,153862,5.24,0.0
新北市私立佳學幼兒園,,,,,134000,134000,0.0,
新北市私立佳宜幼兒園,,,129000,129000,106000,106000,0.0,0.0
新北市私立佳思美幼兒園,51000,56400,57300,58224,61776,61776,10.59,10.59
新北市私立佳恩幼兒園,56199,59859,60459,61041,64534,64534,6.51,6.51
新北市私立佳樂幼兒園,,,,,83840,83840,0.0,
新北市私立佳欣中正幼兒園,70400,70400,73100,73100,73100,73100,3.84,3.84
新北市私立佳欣北新幼兒園,70400,70400,73100,73100,73100,73100,3.84,3.84
