file,short_name,academic_year,extracted_operator,registry_operators,operator_match,contract_period,period_contains_year,opening_year,total_assets,registry_capacity,assets_per_place,magnitude_plausible
N17_中正_111.json,中正,111,財團法人三之三生命教育基金會,三之三生命教育基金會,True,111年8月1日至115年7月31日,True,1,11995442,136,88202,
N17_中正_112.json,中正,112,財團法人三之三生命教育基金會,三之三生命教育基金會,True,111年8月1日至115年7月31日,True,0,14697505,136,108070,True
N17_中正_113.json,中正,113,財團法人三之三生命教育基金會,三之三生命教育基金會,True,111年8月1日至115年7月31日,True,0,16974791,136,124815,True
N18_福營_110.json,福營,110,社團法人中華兆陽文教發展協會,中華兆陽文教發展協會,True,108年2月1日至111年7月31日,True,0,8737903,120,72816,True
N18_福營_111.json,福營,111,社團法人中華兆陽文教發展協會,中華兆陽文教發展協會,True,111年8月1日至115年7月31日,True,1,10181764,120,84848,
N18_福營_112.json,福營,112,社團法人中華兆陽文教發展協會,中華兆陽文教發展協會,True,111年8月1日至115年7月31日,True,0,10917011,120,90975,True
N18_福營_113.json,福營,113,社團法人中華兆陽文教發展協會,中華兆陽文教發展協會,True,111年8月1日至115年7月31日,True,0,12340115,120,102834,True
N19_中園_110.json,中園,110,財團法人成長文教基金會,成長文教基金會,True,108年8月1日至112年7月31日,True,0,10135266,136,74524,True
N19_中園_111.json,中園,111,財團法人成長文教基金會,成長文教基金會,True,108年8月1日至112年7月31日,True,0,12153842,136,89366,True
N19_中園_112.json,中園,112,財團法人成長文教基金會,成長文教基金會,True,112年8月1日至116年7月31日,True,1,15788923,136,116095,
N19_中園_113.json,中園,113,財團法人成長文教基金會,成長文教基金會,True,112年8月1日至116年7月31日,True,0,18211724,136,133910,True
N20_柏翠_110.json,柏翠,110,財團法人心路社會福利基金會,心路社會福利基金會,True,108年8月1日至112年7月31日（109年2月1日開園）,True,0,15594466,166,93943,True
N20_柏翠_111.json,柏翠,111,財團法人心路社會福利基金會,心路社會福利基金會,True,108年8月1日至112年7月31日（109年2月1日開園）,True,0,18095782,166,109011,True
N20_柏翠_112.json,柏翠,112,財團法人心路社會福利基金會,心路社會福利基金會,True,112年8月1日至116年7月31日,True,1,21019698,166,126625,
N20_柏翠_113.json,柏翠,113,財團法人心路社會福利基金會,心路社會福利基金會,True,112年8月1日至116年7月31日,True,0,24326929,166,146548,True
N21_文創_110.json,文創,110,財團法人三之三生命教育基金會,三之三生命教育基金會,True,109年2月1日至112年7月31日,True,0,10014973,90,111277,True
N21_文創_111.json,文創,111,財團法人三之三生命教育基金會,三之三生命教育基金會,True,109年2月1日至112年7月31日,True,0,12267786,90,136309,True
N21_文創_112.json,文創,112,財團法人三之三生命教育基金會,三之三生命教育基金會,True,112年8月1日至116年7月31日,True,1,15240944,90,169344,
N21_文創_113.json,文創,113,財團法人三之三生命教育基金會,三之三生命教育基金會,True,112年8月1日至116年7月31日,True,0,17920234,90,199114,True
N22_文仁_110.json,文仁,110,社團法人臺灣兒童教育發展協會,臺灣兒童教育發展協會,True,109年2月1日至112年7月31日,True,0,10389484,90,115439,True
N22_文仁_111.json,文仁,111,社團法人臺灣兒童教育發展協會,臺灣兒童教育發展協會,True,109年2月1日至112年7月31日,True,0,11895965,90,132177,True
N22_文仁_112.json,文仁,112,社團法人臺灣兒童教育發展協會,臺灣兒童教育發展協會,True,112年8月1日至116年7月31日,True,1,15536677,90,172630,
N22_文仁_113.json,文仁,113,社團法人臺灣兒童教育發展協會,臺灣兒童教育發展協會,True,112年8月1日至116年7月31日,True,0,17973243,90,199703,True
