code,short_name,academic_year,rule,rule_text,passed,detail,severity
N02,山北,110,收入不得以淨額入帳,附註二(八)：所有收入，均應列入各相關收入項目，並以收入總額入帳，不得以收支相抵後淨額入帳。,,"科目名稱含「淨額」：延後托育收入淨額；收入與支出金額完全相同：其他收入 = 其他支出 = 1,874,209——可能為代收代付，需確認是否總額入帳",medium
N02,山北,111,資遣費準備金 資產=負債,附註二(四)：以專戶或定期存款方式儲存之資遣費準備金，帳列非流動資產項下，基金數額應與非流動負債數額相符。,True,"資產 302,484 vs 負債 302,484，差額 +0",medium
N02,山北,111,業務發展準備金 資產=負債,附註二(五)：應於同意後一個月內，以專戶或定期存款方式儲存（帳列非流動資產，與非流動負債相符）。,True,"資產 5,076,723 = 負債 5,076,723",high
N02,山北,111,虧損年度不得提列業務發展準備,附註二(五)：非營利幼兒園未發生虧損之年度…始得提列業務發展準備金。,True,"提列 620,000，本期餘絀 +413,861（未虧損）",high
N02,山北,111,業務發展準備提列上限 20%,附註二(五)：至多提列收入總額（家長繳交之費用；其有政府差額補助費者，應合併計算）之百分之20為業務發展準備金。,True,"提列 620,000 = 收入合計 12,701,252 的 4.9%",high
N02,山北,111,人事費不得流出,附註二(十)1.(3)：人事費不得流出。,,"人事費少支 695,734（決算 7,286,602 / 預算 7,982,336），同期支出合計超支 1,757,807。少支本身不等於流出（可能為缺額未補），但需確認是否將人事費挪用於其他科目",high
N02,山北,111,附註五揭露 = 年末應付受託法人餘額,附註五 關係人交易：揭露予受託法人（關係人）之年末應付款餘額；全語料庫 96% 的報告中，此揭露數即為該年末應付受託法人餘額。,True,"附註五揭露 125,430 vs 年末應付受託法人款 125,430，差額 +0；本年度以現金支付約 0（表列行政管理費 125,430 − 揭露數）",medium
N02,山北,111,收入不得以淨額入帳,附註二(八)：所有收入，均應列入各相關收入項目，並以收入總額入帳，不得以收支相抵後淨額入帳。,,"科目名稱含「淨額」：延後托育收入淨額；收入與支出金額完全相同：其他收入 = 其他支出 = 2,293,328——可能為代收代付，需確認是否總額入帳",medium
N02,山北,112,資遣費準備金 資產=負債,附註二(四)：以專戶或定期存款方式儲存之資遣費準備金，帳列非流動資產項下，基金數額應與非流動負債數額相符。,True,"資產 357,572 vs 負債 357,572，差額 +0",medium
N02,山北,112,業務發展準備金 資產=負債,附註二(五)：應於同意後一個月內，以專戶或定期存款方式儲存（帳列非流動資產，與非流動負債相符）。,True,"資產 6,910,098 = 負債 6,910,098",high
N02,山北,112,虧損年度不得提列業務發展準備,附註二(五)：非營利幼兒園未發生虧損之年度…始得提列業務發展準備金。,,"提列 1,833,375 後本期餘絀 -348,840（虧損），但提列前為 +1,484,535（未虧損）——虧損係提列本身造成，是否符合「未發生虧損之年度」需主管機關認定",high
N02,山北,112,業務發展準備提列上限 20%,附註二(五)：至多提列收入總額之百分之20為業務發展準備金。,True,"提列 1,833,375 = 收入合計 13,850,855 的 13.2%",high
N02,山北,112,人事費不得流出,附註二(十)1.(3)：人事費不得流出。,,"人事費少支 696,551（決算 9,157,815 / 預算 9,854,366），同期支出合計超支 1,382,307。少支本身不等於流出（可能為缺額未補），但需確認是否將人事費挪用於其他科目",high
N02,山北,112,附註五揭露 = 年末應付受託法人餘額,附註五 關係人交易：揭露予受託法人（關係人）之年末應付款餘額；全語料庫 96% 的報告中，此揭露數即為該年末應付受託法人餘額。,True,"附註五揭露 229,600 vs 年末應付受託法人款 229,600，差額 +0；本年度以現金支付約 0（表列行政管理費 229,600 − 揭露數）",medium
N02,山北,112,收入不得以淨額入帳,附註二(八)：所有收入，均應列入各相關收入項目，並以收入總額入帳，不得以收支相抵後淨額入帳。,,"科目名稱含「淨額」：延長照顧服務收入淨額；收入與支出金額完全相同：其他收入 = 其他支出 = 935,839——可能為代收代付，需確認是否總額入帳",medium
N02,山北,113,資遣費準備金 資產=負債,附註二(四)：以專戶或定期存款方式儲存之資遣費準備金，帳列非流動資產項下，基金數額應與非流動負債數額相符。,True,"資產 413,891 vs 負債 413,891，差額 +0",medium
N02,山北,113,業務發展準備金 資產=負債,附註二(五)：應於同意後一個月內，以專戶或定期存款方式儲存（帳列非流動資產，與非流動負債相符）。,True,"資產 9,114,885 = 負債 9,114,885",high
N02,山北,113,虧損年度不得提列業務發展準備,附註二(五)：非營利幼兒園未發生虧損之年度…始得提列業務發展準備金。,True,"提列 2,204,787，本期餘絀 +674,883（未虧損）",high
N02,山北,113,業務發展準備提列上限 20%,附註二(五)：至多提列收入總額之百分之20為業務發展準備金。,True,"提列 2,204,787 = 收入合計 15,866,725 的 13.9%",high
N02,山北,113,人事費不得流出,附註二(十)1.(3)：人事費不得流出。,,"人事費少支 1,041,741（決算 9,040,242 / 預算 10,081,983），同期支出合計超支 2,244,305。少支本身不等於流出（可能為缺額未補），但需確認是否將人事費挪用於其他科目",high
N02,山北,113,附註五揭露 = 年末應付受託法人餘額,附註五 關係人交易：揭露予受託法人（關係人）之年末應付款餘額；全語料庫 96% 的報告中，此揭露數即為該年末應付受託法人餘額。,False,"附註五揭露 220,215 vs 年末應付受託法人款 215,691，差額 -4,524；本年度以現金支付約 2,397（表列行政管理費 222,612 − 揭露數）",medium
N02,山北,113,收入不得以淨額入帳,附註二(八)：所有收入，均應列入各相關收入項目，並以收入總額入帳，不得以收支相抵後淨額入帳。,,"科目名稱含「淨額」：延長照顧服務收入淨額；收入與支出金額完全相同：其他收入 = 其他支出 = 1,652,090；延長照顧服務收入淨額 = 延長照顧服務支出 = 106,755——可能為代收代付，需確認是否總額入帳",medium
N03,龍埔成長,110,資遣費準備金 資產=負債,附註二(四)：以專戶或定期存款方式儲存之資遣費準備金，帳列非流動資產項下，基金數額應與非流動負債數額相符。,True,"資產 280,189 vs 負債 280,189，差額 +0",medium
