code,short_name,academic_year,balance_sheet_date,income_period,operator,contract_period,approved_capacity,actual_enrolment,total_staff,educators,cash,prepaid_receipts,current_assets_total,current_liabilities_total,reserve_asset,reserve_liability,severance_asset,severance_liability,accumulated_surplus,current_surplus,equity_total,total_assets,total_liabilities,人事費_預算,人事費_決算,業務費_預算,業務費_決算,材料費_預算,材料費_決算,維護費_預算,維護費_決算,修繕購置費_預算,修繕購置費_決算,雜支_預算,雜支_決算,行政管理費_預算,行政管理費_決算,業務發展費_預算,業務發展費_決算,支出合計_決算,收入合計_決算,prepaid_coverage,reserve_funding_gap,equity_erosion,maintenance_execution,repair_execution,personnel_execution,admin_fee_execution,related_party_priority,enrolment_utilisation,staff_ratio,cost_per_child,unbudgeted_spend,identity_passed,identity_failed,n_issues
N06,昌平,111,112年7月31日,111.8.1~112.7.31,財團法人三之三生命教育基金會,110年8月1日至114年7月31日,120,120,13,10,5654815,2440957,5765683,4024929,5660167,5660167,248269,248269,1819298,-67044,1752254,13342087,11589833,8783086,7770536,819400,559276,1808400,1575211,143000,73263,168000,115092,49164,12058,262780,262780,,1382600,14033020,13965976,2.316639,0,-0.036852,0.512329,0.685071,0.884716,1.0,0.353171,1.0,12.0,116941.833333,5886140,9,0,8
N06,昌平,112,113年7月31日,112.8.1~113.7.31,財團法人三之三生命教育基金會,110年8月1日至114年7月31日,120,118,13,10,5823963,2737503,6039073,4111177,7699279,7699279,281638,281638,1752254,187142,1939396,15705283,13765887,8975553,6839375,819400,514283,1808400,1602786,143000,104233,168000,116753,49164,19288,262780,262780,,2039112,14950976,15138118,2.127473,0,0.106801,0.728902,0.694958,0.762,1.0,0.317981,0.983333,11.8,126703.186441,8875956,9,0,12
N06,昌平,113,114年7月31日,民國113年8月1日至114年7月31日,財團法人三之三生命教育基金會,110年8月1日至114年7月31日,112,105,13,10,4822001,2030400,4831707,3506324,9482365,9482365,333792,333792,1939396,-602513,1336883,16254782,14917899,9192044,7955962,819400,501842,1956640,1638179,143000,70966,156800,157505,49164,8140,277604,277604,,1783086,15234973,14632460,2.374902,0,-0.31067,0.496266,1.004496,0.865527,1.0,0.336409,0.9375,10.5,145094.980952,7491806,9,0,11
N07,北大,110,111年7月31日,110.8.1~111.7.31,社團法人中華音樂舞蹈暨表演藝術教育協會,110年8月1日至114年7月31日,150,149,16,12,6036334,2664450,6061415,4408932,2687000,2687000,261769,261769,129477,1523006,1652483,11779938,10127455,10473539,9226416,899400,685944,2260500,1973721,143000,67720,210000,202136,53964,51208,315990,315990,,99000,14636905,16159911,2.265508,0,11.762753,0.473566,0.962552,0.880926,1.0,0.183037,0.993333,12.416667,98234.261745,4026088,9,0,2
N07,北大,111,民國112年7月31日,民國111年8月1日至112年7月31日 (111.8.1~112.7.31),社團法人中華音樂舞蹈暨表演藝術教育協會,110年8月1日至114年7月31日,182,180,23,17,8778113,4416875,8932995,6757874,4087000,4087000,354383,354383,1652483,522638,2175121,16195719,14020598,16463139,14516199,1138500,588451,2450630,2312942,190000,191755,254800,227960,68310,30268,358913,358913,,1400000,21332856,21855494,1.987404,0,0.316274,1.009237,0.894662,0.881739,1.0,0.218431,0.989011,10.588235,118515.866667,4668831,9,0,4
N07,北大,112,民國113年7月31日,民國112年8月1日至113年7月31日,社團法人中華音樂舞蹈暨表演藝術教育協會,110年8月1日至114年7月31日,182,180,23,17,9280051,4846095,9373172,7249897,5859000,5859000,449139,449139,2175121,-51846,2123275,18129973,16006698,16813922,14991246,1138500,653272,2450630,2438717,190000,155492,254800,243262,68310,37657,358913,358913,,1772000,23849400,23797554,1.914954,0,-0.023836,0.818379,0.954717,0.891597,1.0,0.202517,0.989011,10.588235,132496.666667,7996270,9,0,11
N07,北大,113,民國114年7月31日,民國113年8月1日至114年7月31日 (113.8.1~114.7.31),社團法人中華音樂舞蹈暨表演藝術教育協會,110年8月1日至114年7月31日,162,137,23,17,10214084,,10535865,5786623,,,,,2123275,2625967,4749242,12687968,7938726,17082193,17915419,985400,596627,2570130,2067204,163000,129310,226800,172003,59124,13402,355553,355553,,1170239,25409886,29145666,,,1.236753,0.793313,0.758391,1.048777,1.0,0.293843,0.845679,8.058824,185473.620438,15352052,9,0,10
N08,鷺江,110,民國111年7月31日,民國110年8月1日至111年7月31日,財團法人彭婉如文教基金會,中華民國110年8月1日至114年7月31日,106,102,13,10,4995159,2206092,5553843,3810085,4977012,4977012,191999,191999,190412,1556346,1746758,12511079,10764321,8428787,6903487,819400,443209,1597420,1222323,143000,73357,148400,139375,49164,6077,241682,241682,,836278,12190875,13749148,2.264257,0,8.173571,0.512986,0.939185,0.819037,1.0,0.383184,0.962264,10.2,119518.382353,5541868,9,0,3
N08,鷺江,111,民國112年7月31日,民國111年8月1日至112年7月31日,財團法人彭婉如文教基金會,中華民國110年8月1日至114年7月31日,106,105,13,10,5697457,2539981,5905333,3680903,6550652,6550652,216452,240905,1746758,456219,2202977,14295302,12092325,8645267,7382340,819400,415654,1597420,1126007,143000,108915,148400,153431,49164,1310,241682,241682,,1573640,13753629,14209848,2.24311,0,0.26118,0.761643,1.033902,0.853917,1.0,0.351956,0.990566,10.5,130986.942857,4324290,9,0,4
N08,鷺江,112,民國113年7月31日,民國112年8月1日至113年7月31日 (112.8.1~113.7.31),財團法人彭婉如文教基金會,中華民國110年8月1日至114年7月31日,106,106,13,10,5361714,2696859,5620888,3502186,9280497,9280497,290996,290996,2202977,-81275,2121702,16625634,14503932,8837758,6549857,819400,481885,1597420,1263486,143000,122799,148400,135491,49164,390,241682,241682,,2729845,16642820,16561545,1.988133,0,-0.036893,0.858734,0.913012,0.741122,1.0,0.350025,1.0,10.6,157007.735849,13011739,9,0,10
